title,rating,actors,studio,category,aspect,format
Babe,G,"Christine Cavanaugh, James Cromwell",Universal,Children,,VHS
Bedknobs and Broomsticks,G,Angela Lansbury,Disney,Children,Wide,VHS
Mary Poppins,G,"Andrews, Van Dyke",Disney,Children,Full,DVD
Ferngully: The Last Rainforest,G,Tim Curry,Fox,Animated,,VHS
FernGully 2 - The Magical Rescue,G,Tim Curry,Fox,Animated,,VHS
"Land Before Time I  to IX (9 movies), The",G,"Gabriel Damon, Pat Hingle",Universal,Animated,,VHS
"Jungle Book, The",NR,Sabu,Anchor Bay,Children,,VHS
"Jungle Book, The",G,"Phil Harris, Sebastian Cabot",Buena Vista,Animated,,VHS
Spy Kids,PG,"Antonio Banderas, Carla Gugino",Disney,Sci-Fi & Fantasy,Wide,DVD
"Prince Of Egypt, The",PG,"Val Kilmer, Ralph Fiennes",Dreamworks,Animated,Wide,DVD
Fantasia 2000,G,Micky & Donald,Disney,Animated,Wide,DVD
"Charlie Brown Christmas, A",NR,,Paramount,Animated,,VHS
"Emperor's New Groove, The",G,"David Spade, John Goodman",Disney,Animated,Wide,DVD
Dinosaur,PG,"D.B. Sweeney, Samuel E. Wright",Disney,Animated,,VHS
Stuart Little,PG,"Michael J. Fox, Geena Davis",Columbia/Tristar,Children,Full,DVD
Shiloh,PG,"Michael Moriarty, Blake Heron",Warner,Children,,VHS
Chitty Chitty Bang Bang,G,"Dick Van Dyke, Sally Ann Howes",MGM/UA,Children,Full,DVD
Pokeman - Mewtwo Returns,NR,,Warner,Animated,,VHS
Pokemon 3 - The Movie,G,"Veronica Taylor, Eric Stuart (III)",Warner,Animated,,VHS
Dumbo,G,"Sterling Holloway, Edward Brophy",Disney,Animated,,VHS
Charlotte's Web,G,"Debbie Reynolds, Henry Gibson",Paramount,Children,,VHS
Bambi,G,,Disney,Animated,,VHS
Basic Instinct,NR,Michael Douglass Sharon Stone,Artisan,Drama,Wide,DVD
Batman The Animated Series,G,,Warner,Animated,Full,DVD
"Last Dragon, The",PG-13,Taimak,Tristar,Sci-Fi & Fantasy,Both,DVD
Gentleman's Agreement,PG,Gregory Peck,Fox,Classic,Full,DVD
How Green Was My Valley,G,"Walter Pidgeon, Maureen O'Hara",Fox,Classic,Full,DVD
All About Eve,PG,Bette Davis,Fox,Classic,Full,DVD
Presumed Innocent,R,Harrison Ford,Warner,Drama,Full,DVD
Diner,R,"Steve Guttenberg, Mickey Rourke, Ellen Barkin",Warner,Drama,Wide,DVD
"Postman Always Rings Twice, The",R,"Jack Nicholson, Jessica Lange",Warner,Drama,Full,DVD
Meatballs,PG,Bill Murray,HBO,Comedy,Full,DVD
